------- Teste Iniciado -------
Tempo de Análise: 00:00:00.0000208
1038,(-17.01, 1.08, -4.54),(-15.61, 1.51, -1.99),00:00:00.0000137
1040,(-17.07, 1.08, -4.55),(-15.70, 1.51, -1.84),00:00:00.0000154
1041,(-17.13, 1.08, -4.56),(-15.74, 1.50, -1.77),00:00:00.0000143
1042,(-17.17, 1.08, -4.59),(-15.78, 1.49, -1.69),00:00:00.0000311
1043,(-17.22, 1.08, -4.62),(-15.82, 1.49, -1.62),00:00:00.0000338
1044,(-17.26, 1.08, -4.65),(-15.85, 1.48, -1.54),00:00:00.0000143
1046,(-17.30, 1.08, -4.68),(-15.91, 1.48, -1.39),00:00:00.0000141
1047,(-17.34, 1.08, -4.72),(-15.94, 1.48, -1.31),00:00:00.0000149
1048,(-17.38, 1.08, -4.75),(-15.96, 1.49, -1.23),00:00:00.0000322
1049,(-17.41, 1.08, -4.79),(-15.99, 1.49, -1.15),00:00:00.0000194
1051,(-17.45, 1.08, -4.83),(-16.03, 1.50, -0.99),00:00:00.0000606
1052,(-17.53, 1.08, -4.74),(-16.05, 1.51, -0.91),00:00:00.0000164
1053,(-17.56, 1.08, -4.73),(-16.08, 1.51, -0.83),00:00:00.0000153
1054,(-17.57, 1.08, -4.75),(-16.10, 1.51, -0.75),00:00:00.0000167
1056,(-17.58, 1.08, -4.80),(-16.16, 1.50, -0.59),00:00:00.0000323
1057,(-17.59, 1.08, -4.86),(-16.20, 1.49, -0.51),00:00:00.0000148
1058,(-17.61, 1.08, -4.91),(-16.25, 1.49, -0.43),00:00:00.0000166
1059,(-17.72, 1.08, -4.93),(-16.30, 1.49, -0.35),00:00:00.0000640
1060,(-17.86, 1.08, -4.96),(-16.36, 1.49, -0.27),00:00:00.0000156
1062,(-18.05, 1.08, -5.00),(-16.49, 1.51, -0.11),00:00:00.0000187
1063,(-18.23, 1.08, -5.05),(-16.56, 1.52, -0.03),00:00:00.0000146
1065,(-18.32, 1.08, -5.10),(-16.70, 1.53, 0.13),00:00:00.0000148
1066,(-18.38, 1.08, -5.15),(-16.76, 1.54, 0.20),00:00:00.0000162
1067,(-18.42, 1.08, -5.19),(-16.83, 1.54, 0.28),00:00:00.0000139
1068,(-18.45, 1.08, -5.23),(-16.89, 1.54, 0.36),00:00:00.0000139
1069,(-18.49, 1.08, -5.27),(-16.94, 1.54, 0.44),00:00:00.0000537
1071,(-18.52, 1.08, -5.31),(-17.04, 1.53, 0.60),00:00:00.0000477
1072,(-18.57, 1.08, -5.35),(-17.09, 1.53, 0.68),00:00:00.0000307
